member_id,first_name,last_name,email,phone_number,current_tier,current_points_balance,lifetime_spend_amount,registered_at
M-1842,Joy,Del Rosario,joy.del rosario@yahoo.com,+63 908 428 3564,Standard,28,0.00,2026-07-06T17:54:00+08:00
M-1845,Daniel,Pascual,daniel.pascual@outlook.ph,+63 908 847 5525,Standard,28,0.00,2026-07-06T12:46:00+08:00
M-1864,Paolo,Castro,paolo.castro@outlook.ph,+63 927 452 0547,Standard,72,240.00,2026-07-06T15:44:00+08:00
M-1925,Gabriel,Flores,gabriel.flores@icloud.com,+63 998 572 7774,Standard,41,305.00,2026-07-06T15:23:00+08:00
M-1928,Stephanie,Padilla,stephanie.padilla@aim.edu.ph,+63 966 536 4723,Standard,59,235.00,2026-07-06T14:10:00+08:00
M-1993,Dominic,Tomas,dominic.tomas@icloud.com,+63 956 576 3519,Standard,58,390.00,2026-07-06T17:35:00+08:00
M-2023,Patricia,Hernandez,patricia.hernandez@yahoo.com,+63 908 782 4064,Standard,32,0.00,2026-07-06T22:40:00+08:00
M-2027,Jose,Castillo,jose.castillo@icloud.com,+63 966 217 3318,Standard,23,160.00,2026-07-06T15:44:00+08:00
M-2128,Daniel,Robles,daniel.robles@aim.edu.ph,+63 928 556 1067,Standard,24,0.00,2026-07-06T14:25:00+08:00
M-2146,Eduardo,Padilla,eduardo.padilla@gmail.com,+63 927 233 8986,Standard,41,240.00,2026-07-06T15:07:00+08:00
M-2163,John,Aquino,john.aquino@gmail.com,+63 908 247 1032,Standard,56,195.00,2026-07-06T14:47:00+08:00
