member_id,first_name,last_name,email,phone_number,current_tier,current_points_balance,lifetime_spend_amount,registered_at
M-1920,Diane,Bernardo,diane.bernardo@outlook.ph,+63 977 268 4358,Standard,4,0.00,2026-08-14T13:32:00+08:00
M-1921,Kenneth,Bernardo,kenneth.bernardo@icloud.com,+63 956 648 2263,Standard,3,0.00,2026-08-14T09:48:00+08:00
M-1927,Eduardo,Castro,eduardo.castro@gmail.com,+63 945 432 6354,Standard,3,0.00,2026-08-14T22:10:00+08:00
M-1933,Christine,Garcia,christine.garcia@gmail.com,+63 945 323 4807,Standard,13,0.00,2026-08-14T15:43:00+08:00
M-2067,Paolo,Tomas,paolo.tomas@yahoo.com,+63 928 993 4785,Standard,38,0.00,2026-08-14T14:20:00+08:00
M-2168,Diane,Cruz,diane.cruz@icloud.com,+63 998 618 2338,Standard,62,175.00,2026-08-14T10:17:00+08:00
M-2174,Dianne,Mercado,dianne.mercado@aim.edu.ph,+63 927 330 7889,Standard,25,165.00,2026-08-14T16:18:00+08:00
M-2178,Jose,Torres,jose.torres@yahoo.com,+63 977 919 7782,Standard,51,100.00,2026-08-14T18:11:00+08:00
M-2181,John,Reyes,john.reyes@icloud.com,+63 966 904 4647,Standard,50,0.00,2026-08-14T20:06:00+08:00
M-2185,Princess,Torres,princess.torres@yahoo.com,+63 918 403 1041,Standard,46,110.00,2026-08-14T11:00:00+08:00
