member_id,first_name,last_name,email,phone_number,current_tier,current_points_balance,lifetime_spend_amount,registered_at
M-1882,Maria,Mendoza,maria.mendoza@gmail.com,+63 918 935 7316,Standard,43,0.00,2026-07-12T15:38:00+08:00
M-1886,Kevin,Manalo,kevin.manalo@aim.edu.ph,+63 945 160 3663,Standard,49,0.00,2026-07-12T17:42:00+08:00
M-1936,Samantha,Santiago,samantha.santiago@outlook.ph,+63 927 168 9962,Standard,32,0.00,2026-07-12T13:10:00+08:00
M-2017,Angelo,Mendoza,angelo.mendoza@icloud.com,+63 927 578 7407,Standard,30,250.00,2026-07-12T13:49:00+08:00
M-2018,Paolo,Mercado,paolo.mercado@aim.edu.ph,+63 927 198 8408,Standard,3,0.00,2026-07-12T09:45:00+08:00
M-2053,Justin,Aquino,justin.aquino@outlook.ph,+63 977 907 6540,Standard,2,0.00,2026-07-12T12:08:00+08:00
M-2063,Clarisse,Cruz,clarisse.cruz1@gmail.com,+63 928 431 8952,Standard,94,785.00,2026-07-12T12:56:00+08:00
M-2071,Vincent,Gomez,vincent.gomez@outlook.ph,+63 945 970 5569,Standard,23,0.00,2026-07-12T14:45:00+08:00
M-2113,Angelo,Castro,angelo.castro@yahoo.com,+63 918 698 2358,Standard,49,80.00,2026-07-12T09:25:00+08:00
M-2127,Christine,Mercado,christine.mercado@yahoo.com,+63 928 510 9158,Standard,44,250.00,2026-07-12T18:15:00+08:00
M-2143,Jerome,Del Rosario,jerome.del rosario@aim.edu.ph,+63 908 823 0134,Standard,45,0.00,2026-07-12T14:11:00+08:00
